44 20 37 -21 32 18 48 12 -23 64 64 31 -16 -24 |69 
44 20 37 -21 32 18 48 12 -23 -24 64 31 -16 |64 69 
44 20 37 -21 32 18 48 12 -23 -24 -16 31 |64 64 69 
44 20 37 -21 32 18 31 12 -23 -24 -16 |48 64 64 69 
-16 20 37 -21 32 18 31 12 -23 -24 |44 48 64 64 69 
-16 20 -24 -21 32 18 31 12 -23 |37 44 48 64 64 69 
-16 20 -24 -21 -23 18 31 12 |32 37 44 48 64 64 69 
-16 20 -24 -21 -23 18 12 |31 32 37 44 48 64 64 69 
-16 12 -24 -21 -23 18 |20 31 32 37 44 48 64 64 69 
-16 12 -24 -21 -23 |18 20 31 32 37 44 48 64 64 69 
-16 -23 -24 -21 |12 18 20 31 32 37 44 48 64 64 69 
-21 -23 -24 |-16 12 18 20 31 32 37 44 48 64 64 69 
-24 -23 |-21 -16 12 18 20 31 32 37 44 48 64 64 69 
-24 |-23 -21 -16 12 18 20 31 32 37 44 48 64 64 69 
